Emp ID,Office InTime,Office OutTime,Area,Area Lat,Area Long
225,13:00:00,22:00:00,BORIVALI (E),19.2240612,72.8666469
227,13:00:00,22:00:00,VIKHROLI (E),19.091182,72.9208636
228,13:00:00,22:00:00,NERUL (W),19.0355766,73.0228173
229,13:00:00,22:00:00,VILE PARLE (E),19.0963781,72.8563994
230,13:00:00,22:00:00,KANDIVALI (E),19.20212,72.856186
231,13:00:00,22:00:00,THANE (W),19.2444738,72.9814877
232,13:00:00,22:00:00,BORIVALI (W),19.2461644,72.8509056
233,13:00:00,22:00:00,MIRA ROAD,19.2871393,72.8688419
234,13:00:00,22:00:00,KOPARKHAIRANE,19.1616388,72.9964269
235,13:00:00,22:00:00,KALWA,19.1943854,72.9992013
236,13:00:00,22:00:00,THANE (W),19.2444738,72.9814877
237,13:00:00,22:00:00,DAHISAR (E),19.2539332,72.8672448
238,13:00:00,22:00:00,VILE PARLE (E),19.0963781,72.8563994
239,13:00:00,22:00:00,GOREGAON (E),19.1551485,72.8678551
240,13:00:00,22:00:00,BHANDUP (W),19.1509879,72.9315251
241,13:00:00,22:00:00,MATUNGA (W),19.0268747,72.8553352
242,13:00:00,22:00:00,MULUND (W),19.1725542,72.942537
243,13:00:00,22:00:00,ANDHERI (E),19.1154908,72.8726952
246,11:00:00,20:00:00,AIROLI,19.157935,72.9934762
247,11:00:00,20:00:00,MIRA ROAD,19.2871393,72.8688419
249,11:00:00,20:00:00,THANE (W),19.2444738,72.9814877
251,11:00:00,20:00:00,THANE (W),19.2444738,72.9814877
252,15:00:00,0:00:00,CBD BELAPUR,19.0300657,73.0351138
253,15:00:00,0:00:00,KANDIVALI (W),19.1998211,72.842594
254,15:00:00,0:00:00,BANDRA (E),19.060516,72.850432
255,15:00:00,0:00:00,MIRA ROAD,19.2871393,72.8688419
256,15:00:00,0:00:00,BORIVALI (W),19.2461644,72.8509056
257,15:00:00,0:00:00,CBD BELAPUR,19.0300657,73.0351138
259,15:00:00,0:00:00,GHANSOLI,19.1253629,72.9992013
260,15:00:00,0:00:00,GOREGAON (E),19.1551485,72.8678551
261,15:00:00,0:00:00,THANE (W),19.2444738,72.9814877
262,15:00:00,0:00:00,THANE (W),19.2444738,72.9814877
263,15:00:00,0:00:00,THANE (W),19.2444738,72.9814877
264,15:00:00,0:00:00,THANE (W),19.2444738,72.9814877
265,15:00:00,0:00:00,THANE (W),19.2444738,72.9814877
266,15:00:00,0:00:00,MIRA ROAD,19.2871393,72.8688419
267,15:00:00,0:00:00,G.T.B NAGAR,19.0357936,72.8655789
268,15:00:00,0:00:00,KOPARKHAIRANE,19.1616388,72.9964269
269,15:00:00,0:00:00,GHANSOLI,19.1253629,72.9992013
